id,tweet_id,customer_handle,customer_text,ground_truth_intent,ground_truth_decision,escalation_category,escalation_reason,difficulty,annotator_notes,human_total_quality,human_reference_reply
GOLD-001,13864,@118918,@AmazonHelp nice game ha. first fool the customer then extend the issue until warranty expires and then you are free. cheating enterprises amazon,AGENT_ESCALATION_COMPLAINT,ESCALATE_TO_HUMAN,SEVERE_SENTIMENT_OR_LEGAL,"Severe customer hostility, accusations of fraud/deceptive practices, or legal/regulatory threats.",High Sarcasm / Frustration,Severe brand-risk escalations or explicit legal threats. Bot deflection strictly forbidden to avoid regulatory or PR fallout.,4,@118918 We'd like to look into this right away. Please send us a direct message with your details at amzn.to/help-dm so we can assist. ^KA
GOLD-002,13865,@118918,@AmazonHelp you have wasted one month by bullsh****g me. now i am being told itvis out of warranty. issue is reported yo @79087 under warranty.,AGENT_ESCALATION_COMPLAINT,ESCALATE_TO_HUMAN,REPEAT_UNRESOLVED_CONTACT,Multiple failed contacts or persistent deadlock with front-line support.,High Sarcasm / Frustration,Customer has contacted support repeatedly without resolution. Requires Tier-2 supervisor intervention to break contact loop.,3,"@118918 Sorry for the disappointment. Kindly reply to the email you've received from our team, we'll check and get back. ^KA"
GOLD-003,13868,@118918,@AmazonHelp i have already done it. your reps dont even check any back data they just rape the customers.,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,"@118918 In this case, request you to wait and you shall receive an reply from our team soon. ^SH"
GOLD-004,13870,@118918,"@AmazonHelp same reply again and again. if the complaint is raised under warranty period and if @2005 wont solve it, how is it out of warranty?",AGENT_ESCALATION_COMPLAINT,ESCALATE_TO_HUMAN,REPEAT_UNRESOLVED_CONTACT,Multiple failed contacts or persistent deadlock with front-line support.,High Sarcasm / Frustration,Customer has contacted support repeatedly without resolution. Requires Tier-2 supervisor intervention to break contact loop.,3,@118918 insight on this issue. 2/2 ^SH
GOLD-005,13873,@118918,@AmazonHelp therevis no resolution. you are asking me to throw it in dumpster. why do you sell stolen products?,ORDER_DELIVERY_ISSUE,ESCALATE_TO_HUMAN,FINANCIAL_OR_CARRIER_DISPUTE,Package scanned as delivered but reported missing/stolen from premises; requires carrier GPS audit.,Ambiguous / Multi-intent,"Carrier GPS delivery scan dispute or porch theft. While standard self-service advises 36-hr wait, missing parcel after delivery scan requires carrier claim investigation.",4,@118918 We'd like to look into this right away. Please send us a direct message with your details at amzn.to/help-dm so we can assist. ^KA
GOLD-006,13866,@118918,"@AmazonHelp so after wasting more than 1.5 month, now you are telling me the product is out of warranty. i had gone to iball 1.5 months back .",PRODUCT_DEFECT_DAMAGE,ESCALATE_TO_HUMAN,FINANCIAL_OR_CARRIER_DISPUTE,Disputed manufacturer warranty denial; requires manual merchant mediation.,High Sarcasm / Frustration,Customer disputes manufacturer warranty expiration timing; requires merchant relations review.,3,"@118918 Apologies for the experience, Vijay. Please reply to the email sent by our team. We'll help you with alternatives. ^SV"
GOLD-007,13878,@118918,@AmazonHelp all emails already shared with earlier tweet. https://t.co/2sVFZ4iG9Q,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@118918 Kindly share your details in the link given earlier and we'll be sure to help you in getting this issue resolved. ^ZH
GOLD-008,13880,@118918,@AmazonHelp yeah and i will get it after i murder service center owner. I would rather throw this product in dumpster and let wll india know abt u cheat,AGENT_ESCALATION_COMPLAINT,ESCALATE_TO_HUMAN,SEVERE_SENTIMENT_OR_LEGAL,"Severe customer hostility, accusations of fraud/deceptive practices, or legal/regulatory threats.",High Sarcasm / Frustration,Severe brand-risk escalations or explicit legal threats. Bot deflection strictly forbidden to avoid regulatory or PR fallout.,4,@118918 Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll contact you with an update on this. ^GS
GOLD-009,13882,@118918,"@AmazonHelp so basically you are stealing money from small customers. @115851 count your money, its growing. THIEVES.",AGENT_ESCALATION_COMPLAINT,ESCALATE_TO_HUMAN,SEVERE_SENTIMENT_OR_LEGAL,"Severe customer hostility, accusations of fraud/deceptive practices, or legal/regulatory threats.",High Sarcasm / Frustration,Severe brand-risk escalations or explicit legal threats. Bot deflection strictly forbidden to avoid regulatory or PR fallout.,4,@118918 Apologies for the inconvenience with policy constraint. We'll be able to assist you once service denial letter is received.^GS
GOLD-010,13884,@118918,"@AmazonHelp why are you removimg @79087 from your tweets? I have official email from @79087 they dont care , they did not sell this product.",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@118918 I get your concern.We wouldn't be able to work on the issue until we receive a service denial letter from the manufacturer.^NS
